Truth Cube,,,,,,,,,,,,,,
Uniaxial Compression Test displacment field data for all 4 strains,,,,,,,,,,,,,,
All positions in mm,,,,,,,,,,,,,,
12-Oct-01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
bead nominal location,,,no strain,,,5% strain,,,12.5% strain,,,18.25% strain,,
i,j,k,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3
1,1,1,-29.69,-28.86,12.62,-30.33,-29.38,12.96,-31.04,-30.09,13.65,-31.85,-31.08,14.38
1,1,2,-29.07,-27.43,3.33,-29.87,-28.12,4.27,-31.03,-29.37,5.9,-32.29,-30.62,7.05
1,1,3,-28.76,-26.88,-6.49,-29.66,-27.61,-5,-31.17,-29.37,-2.79,-32.62,-30.62,-0.6
1,1,4,-28.91,-27.44,-16.83,-29.87,-28.12,-14.66,-31.36,-29.37,-11.69,-32.84,-30.62,-8.72
1,1,5,-28.95,-26.88,-26.91,-30.06,-26.88,-23.94,-31.41,-28.8,-20.07,-32.89,-30.16,-16.55
1,1,6,-28.76,-26.88,-37.29,-29.87,-26.88,-33.58,-30.99,-28.12,-28.76,-32.47,-29.83,-24.68
1,1,7,-28.76,-26.88,-47.31,-29.91,-26.88,-42.71,-30.62,-28.12,-37.29,-31.7,-29.37,-32.44
1,2,1,-30.16,-18.75,12.43,-30.8,-18.95,12.75,-31.64,-19.37,13.36,-32.56,-19.94,14.04
1,2,2,-29.18,-17.45,3.31,-30.1,-17.76,4.21,-31.4,-18.53,5.44,-32.8,-19.37,6.71
1,2,3,-28.95,-17.5,-6.68,-29.91,-18.12,-5.04,-31.54,-18.75,-2.97,-33.15,-19.83,-0.96
1,2,4,-29.01,-17.4,-16.88,-30.09,-17.49,-14.69,-31.73,-18.12,-11.69,-33.4,-19.37,-8.91
1,2,5,-29.14,-16.88,-26.77,-30.24,-16.88,-23.94,-31.7,-18.12,-20.19,-33.4,-19.37,-16.52
1,2,6,-28.72,-17.45,-37.14,-29.87,-16.88,-33.58,-30.99,-18.12,-28.76,-32.53,-18.61,-24.6
1,2,7,-28.72,-17.33,-47.28,-29.87,-16.88,-42.86,-30.44,-17.37,-37.3,-31.73,-18.12,-32.47
1,3,1,-30.76,-8.13,12.29,-31.53,-8.44,12.73,-32.33,-8.46,13.32,-33.35,-8.75,13.79
1,3,2,-29.22,-6.88,3.07,-30.24,-6.88,3.9,-31.72,-7.39,5.22,-33.17,-7.68,6.53
1,3,3,-29.13,-6.88,-6.87,-30.24,-6.88,-5.38,-31.83,-7.43,-3.2,-33.58,-8.13,-1.3
1,3,4,-29.79,-7.58,-17.02,-31.02,-6.88,-14.69,-32.51,-7.67,-11.73,-34.48,-8.13,-9.05
1,3,5,-28.95,-6.88,-26.91,-29.91,-6.88,-23.97,-31.54,-6.88,-20.22,-33.22,-7.5,-16.7
1,3,6,-28.76,-6.88,-37.29,-29.97,-6.32,-33.7,-30.99,-6.88,-28.95,-32.69,-6.88,-24.72
1,3,7,-28.93,-7.49,-47.15,-29.87,-6.88,-42.86,-30.62,-6.88,-37.29,-31.73,-6.88,-32.47
1,4,1,-30.05,1.33,12.27,-30.75,1.54,12.57,-31.66,1.32,13.16,-32.61,1.31,13.73
1,4,2,-29.5,3.13,3.15,-30.62,3.13,3.9,-31.91,3.13,5.2,-33.39,3.13,6.4
1,4,3,-29.5,3.13,-6.87,-30.62,3.13,-5.38,-32.28,3.13,-3.35,-33.97,3.55,-1.3
1,4,4,-29.1,3.13,-17.22,-30.25,4.38,-14.84,-31.73,4.38,-12.06,-33.54,4.38,-9.24
1,4,5,-29.1,3.13,-26.94,-30.06,3.75,-24.12,-31.53,3.8,-20.36,-33.21,4.38,-16.88
1,4,6,-29.13,3.13,-37.29,-30.22,4.38,-33.92,-31.36,4.38,-29.13,-32.84,4.38,-25.05
1,4,7,-28.87,3.13,-47.5,-29.85,4.38,-43.2,-30.62,4.38,-37.67,-31.73,4.38,-32.84
1,5,1,-30.27,12.52,12.08,-30.95,12.88,12.61,-32.02,13.13,13.1,-32.83,13.44,13.69
1,5,2,-29.74,13.13,3,-30.8,13.75,3.89,-32.14,14.37,5.23,-33.58,14.37,6.49
1,5,3,-29.35,13.13,-6.91,-30.56,13.93,-5.35,-32.13,14.37,-3.19,-33.91,15.05,-1.46
1,5,4,-30.62,13.13,-17.26,-31.73,14.37,-15.03,-33.4,15,-11.87,-35.18,15.62,-9.28
1,5,5,-29.14,13.13,-27.09,-30.24,14.37,-24.31,-31.73,14.87,-20.4,-33.58,15.62,-16.88
1,5,6,-29.08,12.43,-37.47,-30.06,13.82,-33.89,-31.33,14.37,-29.1,-32.84,15.62,-25.05
1,5,7,-28.82,12.57,-47.49,-29.87,14.37,-43.23,-30.56,14.9,-37.71,-31.58,15.62,-32.88
1,6,1,-30.69,23.83,12.29,-31.36,24.37,12.5,-32.3,24.98,13.15,-33.14,25.44,13.74
1,6,2,-30.11,23.12,3,-31.03,23.86,3.95,-32.49,24.81,5.34,-33.96,25.63,6.49
1,6,3,-30.08,22.49,-7.03,-31.17,23.62,-5.39,-32.84,24.37,-3.15,-34.51,25.63,-1.18
1,6,4,-30.24,23.12,-17.26,-31.36,24.37,-15.03,-33.03,25.63,-11.88,-34.74,26.88,-9.24
1,6,5,-29.32,22.63,-27.28,-30.24,24.37,-24.31,-31.84,25.63,-20.41,-33.36,26.88,-16.93
1,6,6,-29.13,23.12,-37.67,-30.24,24.37,-33.96,-31.39,25.63,-29.16,-32.84,26.88,-25.05
1,6,7,-28.72,22.67,-47.65,-29.53,24.37,-43.26,-30.57,25.63,-37.71,-31.73,26.88,-33.21
1,7,1,-30.71,34.08,12.22,-31.29,34.91,12.76,-32.33,35.9,13.3,-33.1,36.51,14.11
1,7,2,-29.89,33.63,3,-30.9,34.79,4.06,-32.25,36.27,5.6,-33.56,37.45,7.15
1,7,3,-29.99,33.13,-7.05,-31.01,34.38,-5.35,-32.66,36.12,-2.79,-34.05,37.56,-0.73
1,7,4,-29.53,33.13,-17.22,-30.68,34.93,-14.85,-32.28,36.87,-11.69,-33.92,38.12,-8.75
1,7,5,-29.5,33.13,-27.28,-30.43,35,-24.12,-31.73,36.87,-20.22,-33.24,38.12,-16.85
1,7,6,-29.5,33.13,-37.67,-30.48,35,-33.81,-31.73,36.87,-29.13,-33.17,38.12,-25.2
